	INDEX	PRE	KWIC	POST	FILE	GENRE	VERB_TYPE	POS	VERB_FORM	METAPHOR.MUSIC	MOTION_TYPE	Deictic	COMMENT	LEMMA
1526	64	  the basis of deftly planted deep notes, Clementi 	floats	 a meringue of runs and flourishes, rounded 	19thMR11-8.1_164a_CD.txt	aca	manner	verb	3_present	no	NA	NA	transitive	float
1463	213	 ial tenderness, while clarinetist Michael Collins 	floated	 a nostalgic melody over the top. This was 	TT855ih120710.txt	news	manner	verb	past	no	NA	NA	transitive	float
1144	3153	  to the Swiss Alps, and its three movements 	follow	 a path from birth and childhood to old 	GCDR100ac290212.txt	news	path	verb	infinitive	yes	translational	no		follow
1527	149	  when she slips into the lyric numbers and 	floats	 a plaintive romance it can be quite ravishi	IR1002es251109.txt	news	manner	verb	3_present	no	NA	NA	transitive	float
12	2251	 vinsky's teacher Rimsky-Korsakov that most nearly 	approach	 a religious dimension (their composer was	TT902df090204.txt	news	path	verb	infinitive	no	NA	NA		approach
1057	3676	  monastic pursuit of her dream, her career has 	followed	 a soaring upward path. Now 27, she recall	IR547mc221010.txt	news	path	verb	past_participle	no	NA	NA		follow
1366	435	  that with the passacaglia and the ciaccona he 	went	 a step further, but first let us look 	JSCM96Vol02No1_Silbiger_A.txt	aca	path	verb	past	no	NA	NA		go
1309	824	 r (Bengtsson 1987, 78; italics in the original). 	going	 a step further, London questions the princip	MTO10_16.4_Polak.txt	aca	path	verb	ing	no	NA	NA		go
1184	152	 with asterisks inTable 1),the second-group  theme 	following	 a strong dominant begins with a continua	BF06fall_horne_A.txt	aca	path	verb	ing	yes	translational	no		follow
1114	2992	 hony, who joined the leadership team in September 	following	 a three-year transition period. Winberg 	CT121jvr220212.txt	news	path	verb	ing	no	NA	NA		follow
822	565	 mages around a suspended Plexiglas box from which 	descends	 a white spiral staircase – the stairway t	IR1143es080408.txt	news	path	verb	3_present	L	NA	NA		descend
296	411	  off the starting blocks like the Olympics had 	arrived	 a year early. But there was something else	IR662es310711.txt	news	path	verb	past_participle	no	translational	NA		arrive
636	487	 rote:24 nascendo che un giorno Michelagnolo which 	came	 about because one entrando drento dove l’e 	JM14.txt	aca	path	verb	past	no	NA	NA		come
1402	20	  blows out his own, obliging them to 	crawl	 about in the darkness to look for 	WSJ154bls201208.txt	news	manner	verb	infinitive	L	NA	NA		crawl
2046	2	 ctions of snowflakes, flags and Air Force emblems 	swirled	 about overhead. The audience might as well	WP615various051205.txt	news	manner	verb	past	L	NA	NA		swirl
1311	1095	  Saturday we were treated to film of sheep 	going	 about their business. They were very pretty 	Tempo09-63.250_570a_performance.txt	aca	path	verb	ing	no	NA	NA		go
2050	1	 cluding underwater episodes with the Rhinemaidens 	swirling	 about. But why do a bunch of undulating 	NYT491at030412.txt	news	manner	verb	ing	L	NA	NA		swirl
1464	50	  ostinatos gives way to a sublime viola tune 	floated	 above a frozen, fragile A-major chord. The	Tempo09-63.249_28Xa_CD.txt	aca	manner	verb	past_participle	no	NA	NA	transitive	float
1542	46	  D-minor  largo is simply masterly, the violin 	floating	 above a pizzicato throb.  The disc places	SECM05-7.txt	aca	manner	verb	ing	yes	Self-contained	no		float
1603	9	  the solo flute. Here the Bb-major tune 	floats	 above an A-centered accompaniment. The resu	JM19.txt	aca	manner	verb	3_present	yes	Self-contained	no		float
1436	103	 eal – think, staying Belgian, of the besuited men 	floating	 above rooftops in Magritte's Golconda – i	GLR766fm030411.txt	news	manner	verb	ing	L	NA	NA		float
1437	2	  Symphony, [the  listener] might feel that he is 	floating	 above the earth in a starry dome, with 	BF03fall_wierzbickiA.txt	aca	manner	verb	ing	L	NA	NA		float
1543	45	 me significant foreground  relations. First, Db6, 	floating	 above the obligatory register, resolves r	search08-3_Braus.txt	aca	manner	verb	ing	yes	Self-contained	no		float
1465	153	 ose seraphic refinements elude her and everything 	floated	 above the stave is hit and miss. But 	IR1064es180309.txt	news	manner	verb	past_participle	no	NA	NA	transitive	float
1987	39	  disbelief. By any reckoning it was a 	staggering	 achievement. Lest you assume this is me	GLR129fm220712.txt	news	manner	ADJ	ing	no	NA	NA		stagger
1604	57	  The suggestion  of a chorale, like twisted Bach, 	floats	 across  the background, with the cello risi	Tempo10-64.251_57a.txt	aca	manner	verb	3_present	yes	translational	no		float
637	3677	  the drama and the masterful Fischer, who can 	come	 across as a bit of a cool customer (	IR729es011210.txt	news	path	verb	infinitive	no	NA	NA		come
638	4425	 run and hide. Despite the angst, Ms. Higdon, 47, 	comes	 across as friendly, down to earth and upbeat	NYT451vs220410.txt	news	path	verb	3_present	no	NA	NA		come
614	3208	  in mood and colour of its latter half 	came	 across as oddly passionless. Janacek’s ‘Octob	IR26mc180112.txt	news	path	verb	past	no	NA	NA		come
639	4310	  to the Bill Evans Trio, whose jazz can 	come	 across like cocktail-piano background noise u	NYT297zw270412.txt	news	path	verb	infinitive	no	NA	NA		come
640	3521	 010 Pierre-Laurent Aimard may be 53, but he still 	comes	 across like the miraculous child he was when	IR548mc201010.txt	news	path	verb	3_present	no	NA	NA		come
615	4001	  these sonatas were full of it, but what 	came	 across powerfully were his prophetic games wi	IR1233mc100609.txt	news	path	verb	past	no	NA	NA		come
2072	3	  viola d'amore and medieval fiddle. The repertory 	swirls	 across the centuries: eloquent, pared down 	GCDR93va250312.txt	news	manner	verb	3_present	no	NA	NA		swirl
1279	1232	  upper part thereof. H. is a pin which 	goes	 across the keys in the Jack and the 	18thM10-7.1_0467a_A.txt	aca	path	verb	3_present	no	NA	NA		go
1438	66	  a running English translation, the printed lines 	floating	 across three video screens as if from a 	CT01jvr270212.txt	news	manner	verb	ing	L	NA	NA		float
641	5382	 estration, particularly his writing for the wind, 	comes	 across with rare discernment. One can forgiv	TT992CDva040407.txt	news	path	verb	3_present	no	NA	NA		come
1988	72	 gives a compelling performance as the swaggering, 	staggering	 adman. Lorina Gore's shining soprano an	TT1160ja070510.txt	news	manner	ADJ	ing	L	NA	NA		stagger
2058	4	 , now reworked by Elaine Kidd, is a gaudy, 	swirling	 affair, warmhearted but at the same time 	GLR441ta201211.txt	news	manner	ADJ	ing	no	NA	NA		swirl
779	61	 . For the problem of an emphatic tonic cadence 	coming	 after  the arrival of the fundamental closi	BF04fall_ong_A.txt	aca	path	verb	ing	yes	translational	yes		come
642	4100	  of Beethoven Sonatas in Perahia's career, and 	comes	 after a 13 year gap. There's a Mozartian 	IR1378CDap231108.txt	news	path	verb	3_present	no	NA	NA		come
643	4692	 an. Verdi’s final opera, first performed in 1893, 	came	 after a relatively fallow period of 22 years 	TT212sr180512.txt	news	path	verb	past	no	NA	NA		come
644	2462	  … explosante-fixe …  Originel), when in fact it 	came	 after his Messagesquisse, placed third. Slips	GLR124ta240712.txt	news	path	verb	past	no	NA	NA		come
1073	3076	 . Shostakovich provided the meaty Russian entree, 	followed	 after intermission by regional Hungarian 	CT463jvr251101.txt	news	path	verb	past_participle	no	NA	NA		follow
645	3528	  is the Beach Boys, and everyone who has 	come	 after them, singing high in pop. You could 	IR558mc260910.txt	news	path	verb	past_participle	no	NA	NA		come
780	1126	 , forward and backward at the same time; what 	comes	 after verifies the function of what comes be	MTO10_16.2_Reddick.txt	aca	path	verb	3_present	yes	translational	yes		come
1280	926	  of the final (fifth) phrase in Lucca 601. This 	goes	 against the formulaic version, shown in Sarum	PMM09-18.1_965a.txt	aca	path	verb	3_present	no	NA	NA		go
1630	15	  is gloopy and lachrymose. The vocal lines 	meander	 aimlessly, and there is no discernible str	TT31rc140911.txt	news	manner	verb	infinitive	yes	Self-contained	no		meander
646	2701	  big statement, but the Royal Albert Hall itself 	comes	 alive when hosting the sonic grandeur of mas	GLR634gh160711.txt	news	path	verb	3_present	no	NA	NA		come
1429	144	  her voice has an exquisite silvery quality which 	floats	 all before it.    This, one realises sadly,	IR862aa230312.txt	news	manner	verb	3_present	no	NA	NA		float
1528	143	  her voice has an exquisite silvery quality which 	floats	 all before it.    This, one realises sadly,	IR861cc050312.txt	news	manner	verb	3_present	no	NA	NA		float
1383	3838	  exceedingly passionate soloist. Thomas Zehetmair 	went	 all out for rapture and rhapsody, even if 	TT876df050508.txt	news	path	verb	past	no	NA	NA		go
1266	3258	 ay.html Seite 1 von 3 Barbara Hannigan: 'You must 	go	 all the way’ - Telegraph 08.02.12 11:13 does it	TT10ih250911.txt	news	path	verb	infinitive	no	NA	NA		go
13	1109	 with a reasonable sized audience, but a pragmatic 	approach	 allows for an elegant solution to this di	OS10-15.3_312a.txt	aca	path	N	infinitive	no	NA	NA		approach
1912	21	  must surely tell one day. The whole thing 	races	 along at hilarious breakneck speed, with som	GLR756sp100411.txt	news	manner	verb	3_present	yes	Self-contained	no		race
1148	4311	 ngly beautiful phrases, but the listeners have to 	follow	 along in the printed text to understand: Y	WP103am230412.txt	news	path	verb	infinitive	yes	translational	yes	but has exterior perspective	follow
1544	119	 as the tragedy pursued its somnambulistic course, 	floating	 along on the most magical orchestral play	IR157mc160712.txt	news	manner	verb	ing	yes	translational	no		float
1147	1921	When listening to the audio example, allow the piece to progress without forming an impression of the timing, and then	follow	 along with the mnemonic syllables, spoken m	MTO10_16.4_Burns.txt	aca	path	verb	infinitive	yes	translational	yes	but has exterior perspective	follow
624	4764	  get out.  When after the interval the Eroica 	came	 along, it felt as if the future and 	TT281ih160312.txt	news	path	verb	past	no	NA	NA	programme schedule	come
1357	483	 reover Schenker continued to make additions as he 	went	 along, so that the book eventually grew in 	MA05-24.1:2_87.txt	aca	path	verb	past	no	NA	NA		go
14	1867	  when the flow is interrupted. This directness of 	approach	 also kept the late quartet in communion w	GLR876gd230111.txt	news	path	N	infinitive	no	NA	NA		approach
1225	2447	  chords, see what finger-somersaults I can turn. 	going	 among the adoring crowd afterwards, and shak	IR485mc180511.txt	news	path	verb	ing	L	NA	NA		go
1684	2	 ’s last six bars the first violin 	meanders	 among the DSCH pitches and in this 	20thM09-6.2_174a_A.txt	aca	manner	verb	3_present	yes	Self-contained	no		meander
1989	77	  cleaned up the book, which contains a 	staggering	 amount of fairly explicit sex in the 	WP384am260610.txt	news	manner	ADJ	ing	no	NA	NA		stagger
647	5514	  in Basel and repeated in London on Friday) 	comes	 an altogether different work for Birmingham 	TT1141mr040202.txt	news	path	verb	3_present	no	NA	NA		come
1497	216	  between the stone pillars. Górecki’s way of 	floating	 an endlessly circling, guilelessly sweet 	TT866ih220610.txt	news	manner	N	ing	no	NA	NA	transitive	float
1128	896	  is the standard in most classical singing, which 	follows	 an italian tradition in this respect. [6.4	JSCM95Vol01No1_Sanford_A.txt	aca	path	verb	3_present	no	NA	NA		follow
439	193	 ee Figure 2). The  right hand, introduced with an 	ascending	 anacrusis, launches a rhythmic pattern t	MPR0802_Barolsky.txt	aca	path	ADJ	ing	yes	translational	no		ascend
990	93	  [singers] holding the extreme notes of a fifth 	descends	 and  the other ascends through some [note	EMH10-29_Maw_A.txt	aca	path	verb	3_present	yes	translational	no		descend
1401	5	  written sketches for earthworks, such as Beach 	Crawl	 and Art Yard appear alongside Young’s 	OS09-14.1_028a.txt	aca	manner	N	infinitive	no	NA	NA		crawl
2168	66	 ers an impressive stylistic range, from slapstick 	tumble	 and crash (“Bounce Bounce”) to icy melancho	NYT417CDss060712.txt	news	Manner + path	N	NA	L	NA	NA		tumble
1931	22	 ambassador for music's power to cross boundaries, 	races	 and creeds. Music is part of life, music 	GLR757fm090411.txt	news	manner	N	N	no	NA	NA		race
440	65	  could both be  oblique, in which case the 	ascending	 and descending are simply the  melodic m	EMH10-29_Maw_A.txt	aca	path	ADJ	ing	yes	translational	no		ascend
441	51	 trictly maintained, as the ensuing discussion of  	ascending	 and descending intervals suggests a cove	EMH10-29_Maw_A.txt	aca	path	ADJ	ing	yes	translational	no		ascend
442	236	 tionship between the conjunct tetrachords in both 	ascending	 and descending motion. The cadential for	PMM10-19.1_12Xa.txt	aca	path	ADJ	ing	yes	translational	no		ascend
443	209	 reductions, Kurth’s apparent voices occur in both 	ascending	 and descending patterns and sometimes co	MTO11_17.1_Davis.txt	aca	path	ADJ	ing	yes	translational	no		ascend
531	329	  its sense of direction, and its confluence of 	ascending	 and descending scales, growing quieter a	WP231jr160511.txt	news	path	ADJ	ing	yes	translational	no		ascend
444	85	 h versions a rumble of timpani invokes restlessly 	ascending	 and descending tremolos in the strings w	JM25.txt	aca	path	ADJ	ing	yes	translational	no		ascend
445	243	  inspired by M. C. Escher’s surreal image ‘	Ascending	 and Descending’: an accurately-drawn fan	Tempo09-63.250_570a_performance.txt	aca	path	verb	ing	no				ascend
1498	65	 o triple, and its occasional suspension, create a 	floating	 and dreamy atmosphere. in this movement, 	20thM09-6.2_174a_A.txt	aca	manner	verb	ing	no	NA	NA		float
1699	155	  is ultimately about telling a story – was quick-	paced	 and driven by easy, swinging lyricism. The p	GLR747km170411.txt	news	manner	ADJ	past_participle	yes	Self-contained	no	speed is motion	pace
603	139	  woman wanted to fetch some ashes / The Devil 	came	 and drowned her; / No more old  woman, no 	BF06spring_biamonte_A.txt	aca	path	verb	past	L	NA	NA		come
1545	124	  of forbidden harmonies and his invention of free-	floating	 and ever-shifting tonalities. He is parti	IR447mc111111.txt	news	manner	ADJ	ing	yes	Self-contained	no		float
15	873	 s relationship with the audience had already been 	approached	 and examined radically during the 1960s	OS09-14.1_132a.txt	aca	path	verb	past_participle	no	NA	NA		approach
1975	33	 , crying) and dragging herself to  him, she 	staggers	 and falls to the ground  half-alive, 	19thMR10-7.2_361Xa_A.txt	aca	manner	verb	3_present	L	NA	NA		stagger
2155	9	  dynasty poem. Ms. Lukas played tones that bent, 	swirled	 and fluttered, accompanied by plucked glis	NYT366ss010708.txt	news	manner	verb	past	yes	Self-contained	no		swirl
2043	12	  first half in red and black with Arabic 	swirls	 and for the second with a replica of 	WSJ183hw190808.txt	news	manner	N	NA	L	NA	NA		swirl
1798	218	 ces, look dated today? Will its eccentricities of 	pacing	 and form seem more or less convincing than 	NYT91jr310812.txt	news	manner	N	ing	yes	Self-contained	no		pace
1785	217	  with intonation and ensemble but was acute in 	pacing	 and full of vigor. Set in the stylishly 	NYT39zw020312.txt	news	manner	N	ing	no	NA	NA		pace
1799	226	  with intonation and ensemble but was acute in 	pacing	 and full of vigor. Set in the stylishly 	NYT274zw020312.txt	news	manner	N	ing	yes	Self-contained	no		pace
778	1672	  not to be played. At times the doubling 	comes	 and goes in relation to structural divisions	18thM10-7.1_0455a_A.txt	aca	path	verb	3_present	yes	translational	yes	idiomatic	come
16	1833	 l's Celtic theme. MacGregor's fearlessly eclectic 	approach	 and her pianist credentials have helped p	GLR688re260511.txt	news	path	N	infinitive	no	NA	NA		approach
17	216	 mposer’s discarding of Chaikovsky’s melodramatic 	approach	 and his attempt to match the music more	JM12.txt	aca	path	N	infinitive	no	NA	NA		approach
18	1796	  and whenever a new conductor arrives, changes in 	approach	 and in repertoire can take a while to 	GLR409ac230112.txt	news	path	N	infinitive	no	NA	NA		approach
2083	11	  pellucid and graceful as Poulenc’s concerto is 	swirling	 and indulgent. It needs a fine-etched cla	TT798ih300810.txt	news	manner	ADJ	ing	yes	Self-contained	no		swirl
1700	89	 No. 7, which ended the concert, was fresh, firmly 	paced	 and intelligently shaped, although the drama	CT316jvr060609.txt	news	manner	ADJ	past_participle	yes	Self-contained	no	speed is motion	pace
1644	57	  note-spinning. Late in the evening, a 	meandering	 and interminable aria for an ethereal p	TT145rc200712.txt	news	manner	ADJ	ing	yes	Self-contained	no	negative	meander
1800	102	  in this all-concerto event were remarkable. His 	pacing	 and interpretive outlook seemed grounded in	CT455mc100707.txt	news	manner	N	ing	yes	Self-contained	no		pace
1645	41	 , lyrical slow movement. The flute line is 	meandering	 and inventive, helped along by soloist 	GLR871km270111.txt	news	manner	ADJ	ing	yes	Self-contained	no	descriptive (note that the evaluation is not negative otherwise there would be no coordination with inventive)	meander
202	208	 , Toute Belle's brother (identified as ‘T.’) has 	arrived	 and is staying in Guillaume's house; Guill	PMM09-18.2_027a.txt	aca	path	verb	past_participle	L	translational	NA		arrive
1801	28	 pment, thereby informing the performers’ sense of 	pacing	 and large-scale goals for this section, i 	MTO09_15.2_Kraus.txt	aca	manner	N	ing	yes	Self-contained	no		pace
604	4068	  play at the Festival Hall, and people will 	come	 and listen. I say that unashamedly. Another 	IR1314mc180108.txt	news	path	verb	infinitive	L	NA	NA		come
1389	3049	 , swayed like wind chimes. With no place to 	go	 and little to do, it [John Cage's 1950 String Quartet] contemplated its own 	NYT255bh290292.txt	news	path	verb	infinitive	yes	translational	no	purposes are destinations	go
1938	40	  Bausch in a way that sets my pulse 	racing	 and makes me not just see but feel 	TT332jb270112.txt	news	manner	verb	ing	L	NA	NA		race
1701	144	  sense of theatricality. Whether in the carefully 	paced	 and managed outbursts of the Dies Irae, or 	GLR514ac230911.txt	news	manner	ADJ	past_participle	yes	Self-contained	no		pace
2068	10	  the heft and urgency of something untamed and 	swirling	 and massive. In both pieces the orchestra	TT747ih170912.txt	news	manner	verb	ing	no	NA	NA		swirl
1802	25	 ations of texture, or gradual changes in rhythmic 	pacing	 and motivic complexity, all of which can se	ML09-90.2_Varwig.txt	aca	manner	N	ing	yes	Self-contained	no		pace
